5x5 운동일지,,,,,,,,,,,,,,,,,,,
종목,1RM,시작중량,,성공시 2.5kg 증량,,,,,,,,,,,,,,,
스쿼트,120,60,,세트사이 휴식시간,,,,,,,,,,,,,,,
벤치,80,40,,쉬움 ,1분30초,,,,,,,,,,,,,,ㄷ
데드,140,70,,힘듦,3분,,,,,,,,,,,,,,
오버헤드,60,30,,실패,5분,,,,,,,,,,,,,,
바벨로우,70,35,,워밍업,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<메인운동>,,,,루틴순서,,,,,,,,,,,,,,,
A루틴,,B루틴,,A,B,A,,,,,,,,,,,,,
스쿼트,,스쿼트,,B,A,B,,,,,,,,,,,,,
벤치,,오버헤드,,A,B,A,,,,,,,,,,,,,
바벨로우,,데드,,B,A,B,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
<보조운동>,,,,보조운동은 꼭 할 필요 x,,,,,,,,,,,,,,,
바벨컬,,,,,,,,,,,,,,,,,,,
스컬크러셔,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
