<PHUL 루틴>,,,,,,,,,,
"가슴2,등2,어깨1,이두1,삼두1, 하체",,,,,,,,,,
※성공시 상체 2.5kg 하체 5kg 증량※,,,,,,,,,,
,,,,,,,,,,
POWER,,,,,,,,,,
상체,중량,sets,reps,,하체,중량,sets,reps,,
벤치,,3~4,3~5,,이너타이,,3~4,10~15,,
인클라인 덤벨,,3~4,6~10,,스쿼트,,3~4,3~5,,
바벨로우,,3~4,3~5,,레그프레스,,3~5,6~10,,
렛풀,,3~4,6~10,,카프레이즈,,3~5,10~15,,
오버헤드 프레스,,3~4,5~8,,레그 익스텐션,,3~5,6~10,,
케이블 컬,,3~4,6~10,,리버스컬,,3~4,20,,
케이블 푸쉬다운(트라이셋),,3~4,6~10,,,,,,,
,,,,,,,,,,
HYPERTROPHY,,,,,,,,,,
상체,중량,sets,reps,,하체,중량,sets,reps,,
인클라인 벤치,,3~4,8~12,,레그컬,,3~4,8~12,,
플라이,,3~4,8~12,,데드리프트,,3~4,3~5,,
시티드로우,,3~4,8~12,,레그프레스 ,,3~4,8~12,,
원암덤벨로우,,3~4,8~12,,스쿼트머신,,3~4,8~12,,
사레레,,3~4,8~12,,카프레이즈,,3~4,8~12,,
인클라인 덤벨컬,,3~4,8~12,,리스트 컬,,3~4,20,,
케이블 푸쉬다운(트라이셋),,3~4,8~12,,,,,,,
